egyou@induk.ac.kr	유응구	900301-3	20	남	서울남부	031	029507625
comso1@induk.ac.kr	컴소01	910301-2	20	여	서울북부	032	029507631
comso2@induk.ac.kr	컴소02	920701-1	20	남	서울북부	02	029507632
comso3@induk.ac.kr	컴소03	930301-4	20	여	경기북부	02	029507633
comso4@induk.ac.kr	컴소04	940701-3	20	남	경기북부	02	029507634
comso5@induk.ac.kr	컴소05	950301-2	24	여	경기남부	031	029507635
comso7@induk.ac.kr	컴소07	880321-1	32	남	그외지역	077	077029507637
3	남자	840611-1	36	남	경기남부	031	0310315148
4	이름	970611-1	23	남	인천	032	03203200000001
000618	000618	000618-3	19	남	경기북부	031	031031031031031031000618
000615	000615	000615-4	20	여	경기북부	031	031031031031031031031000615
